Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.5715      -6.6076       0.0362   279.7
0.1000          -6.5423      -6.5815       0.0392   303.3
0.2000          -6.5393      -6.5740       0.0347   268.4
0.3000          -6.5319      -6.5798       0.0479   370.4
0.4000          -6.5341      -6.5806       0.0464   359.3
0.5000          -6.5497      -6.5876       0.0379   293.3
0.6000          -6.5354      -6.5812       0.0458   354.2
0.7000          -6.5368      -6.5879       0.0511   395.3
0.8000          -6.5503      -6.5889       0.0386   298.2
0.9000          -6.5447      -6.5838       0.0391   302.2
1.0000          -6.5548      -6.5942       0.0394   304.9
1.1000          -6.5406      -6.5845       0.0439   339.7
1.2000          -6.5358      -6.5771       0.0412   319.1
1.3000          -6.5352      -6.5772       0.0419   324.5
1.4000          -6.5419      -6.5782       0.0363   280.5
1.5000          -6.5595      -6.5928       0.0333   258.0
1.6000          -6.5524      -6.5835       0.0311   240.5
1.7000          -6.5228      -6.5809       0.0581   449.4
1.8000          -6.5306      -6.5736       0.0430   332.8
1.9000          -6.5321      -6.5734       0.0413   319.5
2.0000          -6.5426      -6.5824       0.0398   308.1
2.1000          -6.5550      -6.5896       0.0346   268.0
2.2000          -6.5489      -6.5889       0.0399   309.0
2.3000          -6.5462      -6.5842       0.0379   293.6
2.4000          -6.5566      -6.5948       0.0382   295.2
2.5000          -6.5384      -6.5639       0.0255   197.4
2.6000          -6.5267      -6.5746       0.0479   370.5
2.7000          -6.5403      -6.5806       0.0403   311.9
2.8000          -6.5511      -6.5872       0.0360   278.7
2.9000          -6.5521      -6.5924       0.0402   311.1
3.0000          -6.5457      -6.5822       0.0365   282.7
3.1000          -6.5584      -6.5916       0.0333   257.5
3.2000          -6.5509      -6.5941       0.0432   334.3
3.3000          -6.5515      -6.5913       0.0398   308.3
3.4000          -6.5216      -6.5744       0.0528   408.7
3.5000          -6.5490      -6.5896       0.0406   314.1
3.6000          -6.5534      -6.5950       0.0416   321.8
3.7000          -6.5524      -6.5795       0.0271   209.4
3.8000          -6.5306      -6.5820       0.0513   397.0
3.9000          -6.5343      -6.5828       0.0486   375.8
4.0000          -6.5547      -6.5910       0.0363   280.8
4.1000          -6.5475      -6.5873       0.0398   308.1
4.2000          -6.5526      -6.5865       0.0339   262.4
4.3000          -6.5502      -6.5835       0.0333   257.9
4.4000          -6.5437      -6.5897       0.0461   356.4
4.5000          -6.5507      -6.5904       0.0398   307.5
4.6000          -6.5317      -6.5726       0.0409   316.5
4.7000          -6.5288      -6.5822       0.0534   413.2
4.8000          -6.5532      -6.5821       0.0289   223.4
4.9000          -6.5459      -6.5839       0.0380   294.1
5.0000          -6.5591      -6.5868       0.0276   213.7
5.1000          -6.5575      -6.5901       0.0326   252.3
5.2000          -6.5432      -6.5852       0.0420   324.9
5.3000          -6.5427      -6.5839       0.0412   318.7
5.4000          -6.5342      -6.5793       0.0451   348.8
5.5000          -6.5340      -6.5760       0.0421   325.4
5.6000          -6.5217      -6.5640       0.0423   327.1
5.7000          -6.5284      -6.5747       0.0462   357.8
5.8000          -6.5520      -6.5902       0.0382   295.6
5.9000          -6.5246      -6.5772       0.0527   407.5
6.0000          -6.5346      -6.5723       0.0377   291.6
6.1000          -6.5297      -6.5821       0.0523   405.0
6.2000          -6.5536      -6.5877       0.0341   263.9
6.3000          -6.5377      -6.5744       0.0367   283.8
6.4000          -6.5437      -6.5762       0.0325   251.2
6.5000          -6.5488      -6.5927       0.0439   339.9
6.6000          -6.5483      -6.5855       0.0372   287.5
6.7000          -6.5454      -6.5892       0.0437   338.4
6.8000          -6.5215      -6.5758       0.0542   419.5
6.9000          -6.5362      -6.5824       0.0462   357.7
7.0000          -6.5487      -6.5898       0.0411   317.9
7.1000          -6.5574      -6.5919       0.0345   266.8
7.2000          -6.5501      -6.5889       0.0388   300.0
7.3000          -6.5411      -6.5747       0.0336   260.1
7.4000          -6.5555      -6.5914       0.0359   277.8
7.5000          -6.5579      -6.5966       0.0387   299.4
7.6000          -6.5532      -6.5897       0.0365   282.4
7.7000          -6.5527      -6.5907       0.0380   294.1
7.8000          -6.5462      -6.5927       0.0465   359.6
7.9000          -6.5483      -6.5743       0.0261   201.7
8.0000          -6.5420      -6.5755       0.0335   259.0
8.1000          -6.5613      -6.5922       0.0308   238.3
8.2000          -6.5691      -6.5941       0.0250   193.2
8.3000          -6.5715      -6.5984       0.0269   208.1
8.4000          -6.5582      -6.5908       0.0326   252.2
8.5000          -6.5426      -6.5860       0.0434   335.6
8.6000          -6.5382      -6.5752       0.0370   286.2
8.7000          -6.5303      -6.5709       0.0407   314.6
8.8000          -6.5418      -6.5824       0.0406   313.7
8.9000          -6.5626      -6.5899       0.0273   211.6
9.0000          -6.5230      -6.5689       0.0459   355.0
9.1000          -6.5302      -6.5731       0.0430   332.5
9.2000          -6.5318      -6.5785       0.0466   360.8
9.3000          -6.5403      -6.5825       0.0421   326.0
9.4000          -6.5473      -6.5949       0.0475   367.7
9.5000          -6.5211      -6.5697       0.0486   376.0
9.6000          -6.5326      -6.5689       0.0363   280.5
9.7000          -6.5324      -6.5783       0.0459   355.1
9.8000          -6.5437      -6.5812       0.0375   290.0
9.9000          -6.5332      -6.5809       0.0477   369.2
10.0000         -6.5455      -6.5851       0.0396   306.0
10.1000         -6.5179      -6.5652       0.0473   365.8
10.2000         -6.5442      -6.5803       0.0361   279.0
10.3000         -6.5331      -6.5793       0.0462   357.8
10.4000         -6.5298      -6.5820       0.0522   404.0
10.5000         -6.5409      -6.5795       0.0387   299.1
10.6000         -6.5342      -6.5746       0.0404   312.8
10.7000         -6.5513      -6.5938       0.0425   328.7
10.8000         -6.5522      -6.5853       0.0332   256.5
10.9000         -6.5548      -6.5815       0.0267   206.6
11.0000         -6.5448      -6.5816       0.0367   284.3
11.1000         -6.5262      -6.5693       0.0431   333.4
11.2000         -6.5399      -6.5824       0.0424   328.3
11.3000         -6.5417      -6.5679       0.0262   202.6
11.4000         -6.5470      -6.5778       0.0309   238.7
11.5000         -6.5405      -6.5797       0.0392   302.9
11.6000         -6.5271      -6.5710       0.0440   340.2
11.7000         -6.5396      -6.5839       0.0442   342.2
11.8000         -6.5267      -6.5805       0.0538   416.3
11.9000         -6.5425      -6.5811       0.0387   299.2
12.0000         -6.5612      -6.5947       0.0335   259.2
12.1000         -6.5338      -6.5865       0.0527   407.6
12.2000         -6.5391      -6.5753       0.0362   280.4
12.3000         -6.5332      -6.5757       0.0425   328.8
12.4000         -6.5337      -6.5737       0.0401   309.9
12.5000         -6.5278      -6.5733       0.0455   352.3
12.6000         -6.5416      -6.5825       0.0409   316.2
12.7000         -6.5366      -6.5698       0.0332   256.5
12.8000         -6.5439      -6.5833       0.0394   304.9
12.9000         -6.5303      -6.5753       0.0450   348.1
13.0000         -6.5383      -6.5799       0.0415   321.3
13.1000         -6.5449      -6.5892       0.0442   342.3
13.2000         -6.5443      -6.5864       0.0421   325.6
13.3000         -6.5549      -6.5860       0.0311   240.4
13.4000         -6.5414      -6.5864       0.0449   347.7
13.5000         -6.5386      -6.5795       0.0409   316.6
13.6000         -6.5410      -6.5851       0.0441   340.9
13.7000         -6.5354      -6.5822       0.0468   362.2
13.8000         -6.5391      -6.5822       0.0431   333.6
13.9000         -6.5551      -6.5858       0.0307   237.7
14.0000         -6.5515      -6.5902       0.0388   300.0
14.1000         -6.5366      -6.5916       0.0550   425.2
14.2000         -6.5197      -6.5639       0.0442   341.7
14.3000         -6.5370      -6.5793       0.0423   327.1
14.4000         -6.5448      -6.5863       0.0414   320.7
14.5000         -6.5419      -6.5837       0.0418   323.4
14.6000         -6.5591      -6.5890       0.0299   231.0
14.7000         -6.5434      -6.5809       0.0375   290.4
14.8000         -6.5334      -6.5836       0.0502   388.4
14.9000         -6.5344      -6.5836       0.0492   380.7
15.0000         -6.5417      -6.5825       0.0408   315.9
15.1000         -6.5472      -6.5778       0.0307   237.2
15.2000         -6.5343      -6.5850       0.0507   392.3
15.3000         -6.5226      -6.5684       0.0458   354.6
15.4000         -6.5379      -6.5818       0.0439   339.6
15.5000         -6.5411      -6.5855       0.0445   344.1
15.6000         -6.5476      -6.5871       0.0395   305.5
15.7000         -6.5366      -6.5789       0.0424   327.7
15.8000         -6.5356      -6.5818       0.0462   357.3
15.9000         -6.5378      -6.5833       0.0455   351.9
16.0000         -6.5220      -6.5769       0.0549   425.0
16.1000         -6.5487      -6.5893       0.0405   313.7
16.2000         -6.5599      -6.5931       0.0332   256.6
16.3000         -6.5595      -6.5905       0.0310   239.7
16.4000         -6.5440      -6.5826       0.0386   298.4
16.5000         -6.5347      -6.5668       0.0322   248.8
16.6000         -6.5437      -6.5820       0.0384   296.8
16.7000         -6.5428      -6.5843       0.0415   321.1
16.8000         -6.5508      -6.5885       0.0377   292.0
16.9000         -6.5439      -6.5782       0.0343   265.1
17.0000         -6.5563      -6.5885       0.0323   249.8
17.1000         -6.5558      -6.5848       0.0290   224.3
17.2000         -6.5317      -6.5765       0.0448   346.6
17.3000         -6.5397      -6.5790       0.0393   303.7
17.4000         -6.5457      -6.5722       0.0264   204.3
17.5000         -6.5396      -6.5833       0.0436   337.6
17.6000         -6.5468      -6.5855       0.0387   299.3
17.7000         -6.5538      -6.5882       0.0344   265.8
17.8000         -6.5528      -6.5831       0.0303   234.2
17.9000         -6.5540      -6.5809       0.0269   208.3
18.0000         -6.5568      -6.5862       0.0293   226.9
18.1000         -6.5437      -6.5855       0.0418   323.3
18.2000         -6.5390      -6.5738       0.0348   269.2
18.3000         -6.5401      -6.5855       0.0454   351.2
18.4000         -6.5392      -6.5765       0.0373   288.9
18.5000         -6.5467      -6.5903       0.0436   337.1
18.6000         -6.5366      -6.5724       0.0359   277.4
18.7000         -6.5475      -6.5855       0.0380   293.8
18.8000         -6.5373      -6.5842       0.0468   362.3
18.9000         -6.5525      -6.5855       0.0330   255.5
19.0000         -6.5548      -6.5926       0.0378   292.2
19.1000         -6.5550      -6.5840       0.0290   224.1
19.2000         -6.5303      -6.5769       0.0466   360.6
19.3000         -6.5420      -6.5875       0.0455   352.1
19.4000         -6.5299      -6.5783       0.0484   374.3
19.5000         -6.5373      -6.5758       0.0386   298.3
19.6000         -6.5476      -6.5860       0.0385   297.5
19.7000         -6.5529      -6.5887       0.0359   277.4
19.8000         -6.5336      -6.5851       0.0515   398.1
19.9000         -6.5310      -6.5779       0.0469   362.7
20.0000         -6.5359      -6.5695       0.0336   259.8
20.1000         -6.5414      -6.5826       0.0412   318.8
20.2000         -6.5477      -6.5782       0.0305   236.3
20.3000         -6.5318      -6.5734       0.0416   321.8
20.4000         -6.5555      -6.5910       0.0355   274.6
20.5000         -6.5400      -6.5849       0.0450   347.9
20.6000         -6.5584      -6.5933       0.0349   270.3
20.7000         -6.5495      -6.5933       0.0438   338.8
20.8000         -6.5467      -6.5785       0.0317   245.5
20.9000         -6.5431      -6.5854       0.0423   326.9
21.0000         -6.5509      -6.5830       0.0321   248.4
21.1000         -6.5570      -6.5934       0.0364   281.7
21.2000         -6.5471      -6.5784       0.0313   242.5
21.3000         -6.5436      -6.5808       0.0372   288.0
21.4000         -6.5280      -6.5612       0.0332   256.6
21.5000         -6.5233      -6.5709       0.0475   367.8
21.6000         -6.5150      -6.5704       0.0554   428.6
21.7000         -6.5418      -6.5868       0.0450   348.1
21.8000         -6.5490      -6.5933       0.0443   342.5
21.9000         -6.5393      -6.5835       0.0441   341.5
22.0000         -6.5446      -6.5932       0.0486   376.0
22.1000         -6.5268      -6.5768       0.0500   386.8
22.2000         -6.5388      -6.5772       0.0383   296.6
22.3000         -6.5379      -6.5862       0.0482   373.2
22.4000         -6.5468      -6.5911       0.0443   342.6
22.5000         -6.5414      -6.5825       0.0410   317.5
22.6000         -6.5444      -6.5795       0.0351   271.6
22.7000         -6.5496      -6.5837       0.0342   264.6
22.8000         -6.5446      -6.5846       0.0400   309.6
22.9000         -6.5393      -6.5814       0.0421   325.6
23.0000         -6.5450      -6.5868       0.0418   323.7
23.1000         -6.5377      -6.5768       0.0392   303.0
23.2000         -6.5337      -6.5819       0.0482   372.8
23.3000         -6.5520      -6.5908       0.0388   300.2
23.4000         -6.5493      -6.5900       0.0407   315.0
23.5000         -6.5428      -6.5791       0.0363   280.9
23.6000         -6.5434      -6.5905       0.0472   364.8
23.7000         -6.5354      -6.5848       0.0494   382.3
23.8000         -6.5481      -6.5832       0.0351   271.3
23.9000         -6.5413      -6.5731       0.0318   246.4
24.0000         -6.5288      -6.5677       0.0388   300.4
24.1000         -6.5400      -6.5876       0.0476   367.9
24.2000         -6.5431      -6.5849       0.0417   322.7
24.3000         -6.5308      -6.5748       0.0440   340.4
24.4000         -6.5444      -6.5837       0.0393   304.4
24.5000         -6.5312      -6.5856       0.0545   421.3
24.6000         -6.5115      -6.5708       0.0593   458.9
24.7000         -6.5371      -6.5766       0.0395   305.8
24.8000         -6.5419      -6.5826       0.0407   314.6
24.9000         -6.5541      -6.5885       0.0344   266.4
25.0000         -6.5522      -6.5760       0.0238   184.0
25.1000         -6.5454      -6.5872       0.0417   322.9
25.2000         -6.5422      -6.5867       0.0445   344.4
25.3000         -6.5558      -6.5870       0.0312   241.5
25.4000         -6.5477      -6.5878       0.0401   309.8
25.5000         -6.5510      -6.5781       0.0271   209.7
25.6000         -6.5510      -6.5884       0.0374   289.0
25.7000         -6.5556      -6.5860       0.0305   235.8
25.8000         -6.5410      -6.5740       0.0330   255.3
25.9000         -6.5423      -6.5789       0.0366   283.4
26.0000         -6.5444      -6.5827       0.0384   297.0
26.1000         -6.5456      -6.5866       0.0411   317.6
26.2000         -6.5400      -6.5774       0.0373   288.7
26.3000         -6.5450      -6.5789       0.0339   262.4
26.4000         -6.5376      -6.5832       0.0456   352.4
26.5000         -6.5513      -6.5907       0.0394   305.0
26.6000         -6.5443      -6.5827       0.0384   297.3
26.7000         -6.5397      -6.5697       0.0300   232.3
26.8000         -6.5490      -6.5880       0.0390   301.8
26.9000         -6.5556      -6.5969       0.0412   318.9
27.0000         -6.5457      -6.5807       0.0350   270.5
27.1000         -6.5339      -6.5815       0.0476   368.3
27.2000         -6.5466      -6.5917       0.0450   348.2
27.3000         -6.5512      -6.5866       0.0354   274.0
27.4000         -6.5315      -6.5731       0.0416   321.8
27.5000         -6.5397      -6.5789       0.0392   302.9
27.6000         -6.5469      -6.5831       0.0362   280.2
27.7000         -6.5345      -6.5811       0.0466   360.6
27.8000         -6.5404      -6.5826       0.0422   326.4
27.9000         -6.5507      -6.5910       0.0403   311.5
28.0000         -6.5463      -6.5847       0.0383   296.7
28.1000         -6.5495      -6.5833       0.0339   261.9
28.2000         -6.5468      -6.5906       0.0437   338.2
28.3000         -6.5371      -6.5826       0.0456   352.7
28.4000         -6.5387      -6.5818       0.0431   333.6
28.5000         -6.5345      -6.5855       0.0510   394.6
28.6000         -6.5573      -6.5936       0.0363   281.0
28.7000         -6.5526      -6.5887       0.0361   279.3
28.8000         -6.5412      -6.5767       0.0355   274.5
28.9000         -6.5390      -6.5837       0.0447   346.0
29.0000         -6.5467      -6.5856       0.0389   301.2
29.1000         -6.5405      -6.5765       0.0360   278.3
29.2000         -6.5443      -6.5837       0.0394   304.7
29.3000         -6.5433      -6.5886       0.0453   350.2
