Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000       -1147.8345   -1148.0363       0.2018  1561.3
0.1000       -1147.7138   -1147.8866       0.1727  1336.2
0.2000       -1147.6866   -1147.8515       0.1648  1275.2
0.3000       -1147.6488   -1147.8411       0.1923  1487.6
0.4000       -1147.6694   -1147.8533       0.1839  1422.7
0.5000       -1147.6363   -1147.8246       0.1882  1456.2
0.6000       -1147.6256   -1147.8601       0.2345  1814.5
0.7000       -1147.6539   -1147.8716       0.2176  1683.6
0.8000       -1147.6557   -1147.8583       0.2026  1567.7
0.9000       -1147.6587   -1147.8495       0.1908  1476.3
1.0000       -1147.6340   -1147.8320       0.1979  1531.2
1.1000       -1147.6345   -1147.8502       0.2157  1668.7
1.2000       -1147.6670   -1147.8443       0.1774  1372.2
1.3000       -1147.6737   -1147.8539       0.1802  1393.9
1.4000       -1147.6438   -1147.8253       0.1816  1404.6
1.5000       -1147.6848   -1147.8556       0.1708  1321.6
1.6000       -1147.6803   -1147.8658       0.1854  1434.7
1.7000       -1147.6724   -1147.8547       0.1823  1410.6
1.8000       -1147.6241   -1147.8201       0.1960  1516.0
1.9000       -1147.6315   -1147.8375       0.2059  1593.2
2.0000       -1147.6502   -1147.8490       0.1988  1537.9
2.1000       -1147.6616   -1147.8632       0.2016  1559.7
2.2000       -1147.6648   -1147.8717       0.2070  1601.2
2.3000       -1147.6268   -1147.8270       0.2003  1549.3
2.4000       -1147.6140   -1147.8151       0.2011  1555.9
2.5000       -1147.6200   -1147.8072       0.1872  1448.6
2.6000       -1147.6395   -1147.8376       0.1981  1532.7
2.7000       -1147.7194   -1147.8813       0.1618  1252.1
2.8000       -1147.6635   -1147.8286       0.1651  1277.1
2.9000       -1147.6760   -1147.8550       0.1790  1384.8
3.0000       -1147.6796   -1147.8482       0.1685  1303.8
3.1000       -1147.6311   -1147.8355       0.2043  1580.9
3.2000       -1147.6463   -1147.8459       0.1996  1544.1
3.3000       -1147.6781   -1147.8590       0.1810  1400.2
3.4000       -1147.6655   -1147.8802       0.2147  1661.3
3.5000       -1147.6806   -1147.8577       0.1770  1369.7
3.6000       -1147.6512   -1147.8386       0.1875  1450.3
3.7000       -1147.6520   -1147.8440       0.1920  1485.4
3.8000       -1147.6161   -1147.8246       0.2084  1612.5
3.9000       -1147.6753   -1147.8387       0.1634  1264.2
4.0000       -1147.6602   -1147.8445       0.1843  1425.7
4.1000       -1147.6744   -1147.8594       0.1850  1431.5
4.2000       -1147.6771   -1147.8553       0.1782  1378.5
4.3000       -1147.6347   -1147.8354       0.2007  1552.9
4.4000       -1147.6185   -1147.8415       0.2230  1725.3
4.5000       -1147.6533   -1147.8461       0.1928  1491.7
4.6000       -1147.6365   -1147.8316       0.1951  1509.3
4.7000       -1147.6193   -1147.8349       0.2156  1668.0
4.8000       -1147.6239   -1147.8272       0.2033  1573.1
4.9000       -1147.6557   -1147.8210       0.1653  1279.0
5.0000       -1147.6193   -1147.8198       0.2005  1550.9
5.1000       -1147.6400   -1147.8315       0.1915  1481.1
5.2000       -1147.6428   -1147.8451       0.2023  1565.2
5.3000       -1147.6756   -1147.8715       0.1959  1515.2
5.4000       -1147.6613   -1147.8480       0.1867  1444.1
5.5000       -1147.6415   -1147.8526       0.2112  1633.6
5.6000       -1147.6155   -1147.8130       0.1974  1527.5
5.7000       -1147.6510   -1147.8394       0.1885  1457.9
5.8000       -1147.6664   -1147.8739       0.2075  1605.2
5.9000       -1147.6658   -1147.8325       0.1667  1289.5
6.0000       -1147.6580   -1147.8502       0.1922  1486.7
6.1000       -1147.6692   -1147.8565       0.1872  1448.6
6.2000       -1147.6502   -1147.8371       0.1869  1445.8
6.3000       -1147.6712   -1147.8559       0.1847  1428.9
6.4000       -1147.6533   -1147.8462       0.1929  1492.6
6.5000       -1147.6391   -1147.8420       0.2029  1569.4
6.6000       -1147.6267   -1147.8411       0.2144  1658.5
6.7000       -1147.6495   -1147.8387       0.1892  1463.9
6.8000       -1147.6550   -1147.8312       0.1762  1363.2
6.9000       -1147.6989   -1147.8741       0.1752  1355.7
7.0000       -1147.6919   -1147.8853       0.1934  1496.3
7.1000       -1147.6048   -1147.8117       0.2069  1600.4
7.2000       -1147.6193   -1147.8314       0.2121  1640.8
7.3000       -1147.6598   -1147.8510       0.1913  1479.6
7.4000       -1147.6570   -1147.8361       0.1792  1386.1
7.5000       -1147.6453   -1147.8253       0.1800  1392.8
7.6000       -1147.6768   -1147.8762       0.1994  1542.5
7.7000       -1147.6781   -1147.8672       0.1891  1463.2
7.8000       -1147.6403   -1147.8189       0.1786  1381.9
7.9000       -1147.6034   -1147.8096       0.2062  1595.0
8.0000       -1147.6125   -1147.7987       0.1862  1440.5
8.1000       -1147.6418   -1147.8259       0.1840  1423.8
8.2000       -1147.6961   -1147.8624       0.1662  1286.1
8.3000       -1147.6568   -1147.8846       0.2278  1762.6
8.4000       -1147.6364   -1147.8621       0.2257  1746.2
8.5000       -1147.6565   -1147.8429       0.1864  1441.8
8.6000       -1147.6264   -1147.8210       0.1946  1505.3
8.7000       -1147.6987   -1147.8660       0.1673  1294.5
8.8000       -1147.6429   -1147.8437       0.2008  1553.6
8.9000       -1147.6354   -1147.8134       0.1779  1376.5
9.0000       -1147.6452   -1147.8400       0.1948  1506.8
9.1000       -1147.6473   -1147.8341       0.1868  1444.8
9.2000       -1147.6315   -1147.8459       0.2144  1658.3
9.3000       -1147.6514   -1147.8275       0.1761  1362.5
9.4000       -1147.6164   -1147.8047       0.1884  1457.3
9.5000       -1147.6323   -1147.8106       0.1783  1379.5
9.6000       -1147.6233   -1147.8146       0.1913  1480.0
9.7000       -1147.6582   -1147.8546       0.1965  1519.8
9.8000       -1147.6414   -1147.8510       0.2096  1621.7
9.9000       -1147.6501   -1147.8427       0.1927  1490.5
10.0000      -1147.6477   -1147.8684       0.2207  1707.3
10.1000      -1147.6627   -1147.8548       0.1921  1486.5
10.2000      -1147.6475   -1147.8316       0.1841  1423.9
10.3000      -1147.6582   -1147.8436       0.1854  1434.4
10.4000      -1147.6530   -1147.8453       0.1923  1487.7
10.5000      -1147.6389   -1147.8089       0.1699  1314.7
10.6000      -1147.6479   -1147.8375       0.1896  1466.7
10.7000      -1147.6770   -1147.8695       0.1925  1489.1
10.8000      -1147.6658   -1147.8315       0.1657  1282.0
10.9000      -1147.6709   -1147.8358       0.1649  1275.5
11.0000      -1147.6192   -1147.8242       0.2050  1586.0
11.1000      -1147.6415   -1147.8457       0.2041  1579.1
11.2000      -1147.6827   -1147.8781       0.1954  1511.9
11.3000      -1147.6421   -1147.8228       0.1808  1398.4
11.4000      -1147.6437   -1147.8385       0.1948  1506.9
11.5000      -1147.6510   -1147.8315       0.1805  1396.4
11.6000      -1147.6785   -1147.8620       0.1834  1419.2
11.7000      -1147.6651   -1147.8609       0.1958  1514.4
11.8000      -1147.6500   -1147.8436       0.1936  1497.7
11.9000      -1147.7062   -1147.8853       0.1791  1385.5
12.0000      -1147.6964   -1147.8466       0.1502  1162.0
12.1000      -1147.6713   -1147.8479       0.1766  1366.5
